titre,console,note_testeur,nom_testeur,statut_testeur,year,date_test,note_lecteur,nombre_testeur,url
Lollipop Chainsaw,360,14,pixelpirate,Journaliste jeuxvideo.com,2012,14 juin 2012 à 18:01:57,14.9,130,https://jeuxvideo.com/articles/0001/00017207-lollipop-chainsaw-test.htm
Lollipop Chainsaw,PS3,14,pixelpirate,Journaliste jeuxvideo.com,2012,14 juin 2012 à 17:40:42,14.7,91,https://jeuxvideo.com/articles/0001/00017212-lollipop-chainsaw-test.htm
Cartoon Network,PS3,8,dharn,Journaliste jeuxvideo.com,2012,14 juin 2012 à 15:52:58,14.2,9,https://jeuxvideo.com/articles/0001/00017205-cartoon-network-punch-time-explosion-xl-test.htm
Cartoon Network,Wii,8,dharn,Journaliste jeuxvideo.com,2012,14 juin 2012 à 15:52:31,13,6,https://jeuxvideo.com/articles/0001/00017206-cartoon-network-punch-time-explosion-xl-test.htm
Oh! Cube,iOS,14,Jihem,Journaliste jeuxvideo.com,2012,14 juin 2012 à 14:55:14,13.5,2,https://jeuxvideo.com/articles/0001/00017204-oh-cube-test.htm
Cartoon Network,360,8,dharn,Journaliste jeuxvideo.com,2012,14 juin 2012 à 14:49:03,11.9,7,https://jeuxvideo.com/articles/0001/00017203-cartoon-network-punch-time-explosion-xl-test.htm
Canabalt,Vita,9,SentryDown,Journaliste jeuxvideo.com,2012,13 juin 2012 à 17:56:27,14,6,https://jeuxvideo.com/articles/0001/00017240-canabalt-test.htm
Canabalt,PSP,9,SentryDown,Journaliste jeuxvideo.com,2012,13 juin 2012 à 17:56:27,9.1,13,https://jeuxvideo.com/articles/0001/00017239-canabalt-test.htm
Canabalt,PS3,9,SentryDown,Journaliste jeuxvideo.com,2012,13 juin 2012 à 17:56:27,9.3,3,https://jeuxvideo.com/articles/0001/00017238-canabalt-test.htm
Bang Bang Racing,PC,15,Rivaol,Journaliste jeuxvideo.com,2012,13 juin 2012 à 17:32:00,13,13,https://jeuxvideo.com/articles/0001/00017202-bang-bang-racing-test.htm
Bang Bang Racing,PS3,15,Rivaol,Journaliste jeuxvideo.com,2012,13 juin 2012 à 17:32:00,16.5,11,https://jeuxvideo.com/articles/0001/00017201-bang-bang-racing-test.htm
Diablo,PC,19,nuktos,Journaliste jeuxvideo.com,2012,13 juin 2012 à 17:18:18,17.9,100,https://jeuxvideo.com/articles/0001/00017231-diablo-test.htm
Deadly Skies,GB,1,trikmoumoutte,Journaliste jeuxvideo.com,2012,13 juin 2012 à 17:17:09,5.5,2,https://jeuxvideo.com/articles/0001/00017237-deadly-skies-test.htm
Dungeonbowl,PC,14,hiro,Journaliste jeuxvideo.com,2012,13 juin 2012 à 17:00:00,11,9,https://jeuxvideo.com/articles/0001/00017192-dungeonbowl-test.htm
Diablo,Mac,19,nuktos,Journaliste jeuxvideo.com,2012,13 juin 2012 à 16:56:48,18.5,4,https://jeuxvideo.com/articles/0001/00017236-diablo-test.htm
Siege Hero,Android,16,Crunch,Journaliste jeuxvideo.com,2012,13 juin 2012 à 16:56:00,,,https://jeuxvideo.com/articles/0001/00017234-siege-hero-test.htm
Bang Bang Racing,360,15,Rivaol,Journaliste jeuxvideo.com,2012,13 juin 2012 à 16:27:32,12.9,22,https://jeuxvideo.com/articles/0001/00017198-bang-bang-racing-test.htm
Alan Wake's American Nightmare,PC,14,la_redaction,Journaliste jeuxvideo.com,2012,13 juin 2012 à 16:09:40,13.7,53,https://jeuxvideo.com/articles/0001/00017199-alan-wake-s-american-nightmare-test.htm
SBK Generations,360,12,Rivaol,Journaliste jeuxvideo.com,2012,12 juin 2012 à 17:49:41,13.8,10,https://jeuxvideo.com/articles/0001/00017195-sbk-generations-test.htm
SBK Generations,PS3,12,Rivaol,Journaliste jeuxvideo.com,2012,12 juin 2012 à 17:49:41,13.9,7,https://jeuxvideo.com/articles/0001/00017194-sbk-generations-test.htm
The Binding of Isaac,Mac,16,SentryDown,Journaliste jeuxvideo.com,2012,12 juin 2012 à 17:35:08,9,2,https://jeuxvideo.com/articles/0001/00017232-the-binding-of-isaac-wrath-of-the-lamb-test.htm
SBK Generations,PC,12,Rivaol,Journaliste jeuxvideo.com,2012,12 juin 2012 à 16:59:27,13.7,6,https://jeuxvideo.com/articles/0001/00017193-sbk-generations-test.htm
Deponia,PC,14,Lena,Journaliste jeuxvideo.com,2012,12 juin 2012 à 16:29:58,14.9,35,https://jeuxvideo.com/articles/0001/00017191-deponia-test.htm
